Model,Accuracy,F1 Score (weighted),Training Time (s)
BOW + LR,0.9316167664670658,0.9241110450019462,1.3128440380096436
TF-IDF + LR,0.9283832335329342,0.9138817282849259,2.844698905944824
BOW + NB,0.8941317365269461,0.8969521424325811,0.5026261806488037
TF-IDF + NB,0.9126946107784432,0.8951775128053254,2.4294207096099854
BERT,0.9338922155688623,0.9284765282423971,2919.5752601623535
DistilBERT,0.9389221556886228,0.9341655333421583,1524.7115459442139
RoBERTa,0.9388023952095809,0.9331643811659408,
BERT,0.9338922155688623,0.9284765282423971,2919.5752601623535
DistilBERT,0.9389221556886228,0.9341655333421583,1524.7115459442139
RoBERTa,0.9388023952095809,0.9331643811659408,
